"space","start","end","width","names","peak","strand","feature","start_position","end_position","insideFeature","distancetoFeature","shortestDistance","fromOverlappingOrNearest","external_gene_id","entrezgene"
"1",86313631,86313882,252,"0070 ENSMUSG00000091806","0070","+","ENSMUSG00000091806",86323267,86323593,"upstream",-9636,9385,"NearestStart","Gm5258","383538"
"1",86487205,86487700,496,"0071 ENSMUSG00000026238","0071","+","ENSMUSG00000026238",86526736,86530698,"upstream",-39531,39036,"NearestStart","Ptma","19231"
"1",86504181,86504447,267,"0072 ENSMUSG00000026238","0072","+","ENSMUSG00000026238",86526736,86530698,"upstream",-22555,22289,"NearestStart","Ptma","19231"
"1",86525188,86525613,426,"0073 ENSMUSG00000026238","0073","+","ENSMUSG00000026238",86526736,86530698,"upstream",-1548,1123,"NearestStart","Ptma","19231"
"1",86526089,86526603,515,"0074 ENSMUSG00000026238","0074","+","ENSMUSG00000026238",86526736,86530698,"upstream",-647,133,"NearestStart","Ptma","19231"
"1",86528122,86528516,395,"0075 ENSMUSG00000026238","0075","+","ENSMUSG00000026238",86526736,86530698,"inside",1386,1386,"NearestStart","Ptma","19231"
"1",87213853,87214062,210,"0076 ENSMUSG00000026254","0076","+","ENSMUSG00000026254",87213914,87240488,"overlapStart",-61,61,"NearestStart","Eif4e2","26987"
"1",89454649,89455041,393,"0079 ENSMUSG00000055013","0079","+","ENSMUSG00000055013",89454811,89895282,"overlapStart",-162,162,"NearestStart","Agap1","347722"
"1",89756425,89756693,269,"0080 ENSMUSG00000088775","0080","+","ENSMUSG00000088775",89684802,89685112,"downstream",71623,71313,"NearestStart","Gm26037",
"1",89922818,89923047,230,"0081 ENSMUSG00000092627","0081","+","ENSMUSG00000092627",89930234,89931862,"upstream",-7416,7187,"NearestStart","D130058E05Rik",
"1",91494518,91494884,367,"0084 ENSMUSG00000034292","0084","+","ENSMUSG00000034292",91494668,91529303,"overlapStart",-150,150,"NearestStart","Traf3ip1","74019"
"1",93235749,93236087,339,"0086 ENSMUSG00000047793","0086","+","ENSMUSG00000047793",93235841,93301065,"overlapStart",-92,92,"NearestStart","Sned1","208777"
"1",93478812,93479124,313,"0087 ENSMUSG00000026276","0087","+","ENSMUSG00000026276",93478964,93510260,"overlapStart",-152,152,"NearestStart","Sept2","18000"
"1",93511993,93512193,201,"0088 ENSMUSG00000034066","0088","+","ENSMUSG00000034066",93512079,93621976,"overlapStart",-86,86,"NearestStart","Farp2","227377"
"1",93803637,93803982,346,"0089 ENSMUSG00000026283","0089","+","ENSMUSG00000026283",93803965,93822101,"overlapStart",-328,17,"NearestStart","Ing5","66262"
"1",97769773,97770122,350,"0090 ENSMUSG00000026333","0090","+","ENSMUSG00000026333",97770172,97793709,"upstream",-399,50,"NearestStart","Gin1","252876"
"1",106171570,106171776,207,"0091 ENSMUSG00000044340","0091","+","ENSMUSG00000044340",106171752,106394250,"overlapStart",-182,24,"NearestStart","Phlpp1","98432"
"1",118627650,118628166,517,"0092 ENSMUSG00000026380","0092","+","ENSMUSG00000026380",118627945,118685167,"overlapStart",-295,221,"NearestStart","Tfcp2l1","81879"
"1",119076052,119076324,273,"0095 ENSMUSG00000097408","0095","+","ENSMUSG00000097408",119058469,119059848,"downstream",17583,16204,"NearestStart","RP24-258M24.2",
"1",119157291,119157603,313,"0096 ENSMUSG00000096939","0096","+","ENSMUSG00000096939",119157586,119158565,"overlapStart",-295,17,"NearestStart","RP24-117M7.1",
"1",119526074,119526311,238,"0101 ENSMUSG00000037015","0101","+","ENSMUSG00000037015",119526425,119528224,"upstream",-351,114,"NearestStart","Tmem185b","226351"
"1",121087143,121087454,312,"0103 ENSMUSG00000097881","0103","+","ENSMUSG00000097881",121087405,121120956,"overlapStart",-262,49,"NearestStart","AC117547.1",
"1",128103441,128103641,201,"0104 ENSMUSG00000056211","0104","+","ENSMUSG00000056211",128103306,128237735,"inside",135,135,"NearestStart","R3hdm1","226412"
"1",130462508,130462721,214,"0106 ENSMUSG00000085526","0106","+","ENSMUSG00000085526",130462576,130557075,"overlapStart",-68,68,"NearestStart","Gm16083",
"1",132007608,132008128,521,"0108 ENSMUSG00000026436","0108","+","ENSMUSG00000026436",132007607,132032612,"inside",1,1,"NearestStart","Elk4","13714"
"1",132288323,132288615,293,"0111 ENSMUSG00000089808","0111","+","ENSMUSG00000089808",132284447,132284809,"downstream",3876,3514,"NearestStart","Gm7241","638532"
"1",132850833,132851186,354,"0112 ENSMUSG00000026443","0112","+","ENSMUSG00000026443",132880273,132940005,"upstream",-29440,29087,"NearestStart","Lrrn2","16980"
"1",132878937,132879302,366,"0113 ENSMUSG00000026443","0113","+","ENSMUSG00000026443",132880273,132940005,"upstream",-1336,971,"NearestStart","Lrrn2","16980"
"1",133363409,133364096,688,"0114 ENSMUSG00000070644","0114","+","ENSMUSG00000070644",133363572,133380336,"overlapStart",-163,163,"NearestStart","Etnk2","214253"
"1",136415251,136415532,282,"0124 ENSMUSG00000026404","0124","+","ENSMUSG00000026404",136415271,136440158,"overlapStart",-20,20,"NearestStart","Ddx59","67997"
"1",136674801,136675332,532,"0127 ENSMUSG00000097113","0127","+","ENSMUSG00000097113",136670769,136690804,"inside",4032,4032,"NearestStart","RP23-302C16.2",
"1",136696080,136696383,304,"0128 ENSMUSG00000097448","0128","+","ENSMUSG00000097448",136696211,136726142,"overlapStart",-131,131,"NearestStart","RP23-302C16.3",
"1",140245547,140245767,221,"0130 ENSMUSG00000052726","0130","+","ENSMUSG00000052726",140246216,140612063,"upstream",-669,449,"NearestStart","Kcnt2","240776"
"1",143777081,143777386,306,"0131 ENSMUSG00000018189","0131","+","ENSMUSG00000018189",143777278,143807466,"overlapStart",-197,108,"NearestStart","Uchl5","56207"
"1",153425066,153425383,318,"0132 ENSMUSG00000042708","0132","+","ENSMUSG00000042708",153425162,153452574,"overlapStart",-96,96,"NearestStart","Shcbp1l","71836"
"1",154204959,154205159,201,"0135 ENSMUSG00000066797","0135","+","ENSMUSG00000066797",154201187,154205674,"inside",3772,515,"NearestStart","Zfp648","100503355"
"1",156558694,156558924,231,"0136 ENSMUSG00000026596","0136","+","ENSMUSG00000026596",156558786,156649568,"overlapStart",-92,92,"NearestStart","Abl2","11352"
"1",161968998,161969298,301,"0139 ENSMUSG00000026698","0139","+","ENSMUSG00000026698",161969186,162027106,"overlapStart",-188,112,"NearestStart","Pigc","67292"
"1",162570489,162570715,227,"0140 ENSMUSG00000026696","0140","+","ENSMUSG00000026696",162570515,162599084,"overlapStart",-26,26,"NearestStart","Vamp4","53330"
"1",164377124,164377440,317,"0141 ENSMUSG00000026575","0141","+","ENSMUSG00000026575",164312879,164348181,"downstream",64245,28943,"NearestStart","Nme7","171567"
"1",164494312,164494517,206,"0142 ENSMUSG00000097281","0142","+","ENSMUSG00000097281",164503307,164514882,"upstream",-8995,8790,"NearestStart","AC158943.1",
"1",166164722,166164922,201,"0144 ENSMUSG00000000544","0144","+","ENSMUSG00000000544",166130238,166166510,"inside",34484,1588,"NearestStart","Gpa33","59290"
"1",172418191,172418506,316,"0152 ENSMUSG00000050229","0152","+","ENSMUSG00000050229",172376531,172384099,"downstream",41660,34092,"NearestStart","Pigm","67556"
"1",174501696,174502043,348,"0153 ENSMUSG00000028354","0153","+","ENSMUSG00000028354",174501825,174822717,"overlapStart",-129,129,"NearestStart","Fmn2","54418"
"1",176814070,176814385,316,"0154 ENSMUSG00000026504","0154","+","ENSMUSG00000026504",176814660,177020437,"upstream",-590,275,"NearestStart","Sdccag8","76816"
"1",178318813,178319244,432,"0155 ENSMUSG00000026500","0155","+","ENSMUSG00000026500",178319130,178322693,"overlapStart",-317,114,"NearestStart","Cox20","66359"
"1",180813724,180814038,315,"0157 ENSMUSG00000073485","0157","+","ENSMUSG00000073485",180813776,180816859,"overlapStart",-52,52,"NearestStart","Gm16067",
"1",180850796,180851155,360,"0158 ENSMUSG00000038806","0158","+","ENSMUSG00000038806",180851151,180868097,"overlapStart",-355,4,"NearestStart","Sde2","208768"
"1",180888619,180889142,524,"0159 ENSMUSG00000066652","0159","+","ENSMUSG00000066652",180893108,180899103,"upstream",-4489,3966,"NearestStart","Lefty2","320202"
"1",180924688,180925124,437,"0160 ENSMUSG00000038793","0160","+","ENSMUSG00000038793",180935022,180938400,"upstream",-10334,9898,"NearestStart","Lefty1","13590"
"1",180933679,180934047,369,"0161 ENSMUSG00000038793","0161","+","ENSMUSG00000038793",180935022,180938400,"upstream",-1343,975,"NearestStart","Lefty1","13590"
"1",180942324,180942524,201,"0162 ENSMUSG00000026519","0162","+","ENSMUSG00000026519",180942344,180975112,"overlapStart",-20,20,"NearestStart","Tmem63a","208795"
"1",182094547,182094807,261,"0165 ENSMUSG00000026511","0165","+","ENSMUSG00000026511",182124737,182132407,"upstream",-30190,29930,"NearestStart","Srp9","27058"
"1",185203973,185204173,201,"0166 ENSMUSG00000039318","0166","+","ENSMUSG00000039318",185204168,185286743,"overlapStart",-195,5,"NearestStart","Rab3gap2","98732"
"1",185362894,185363201,308,"0167 ENSMUSG00000026615","0167","+","ENSMUSG00000026615",185363095,185428355,"overlapStart",-201,106,"NearestStart","Eprs","107508"
"1",186510573,186510859,287,"0168 ENSMUSG00000089045","0168","+","ENSMUSG00000089045",186676742,186676876,"upstream",-166169,165883,"NearestStart","Gm26169",
"1",189740088,189740341,254,"0169 ENSMUSG00000026604","0169","+","ENSMUSG00000026604",189728268,189876695,"inside",11820,11820,"NearestStart","Ptpn14","19250"
"1",191224300,191224674,375,"0172 ENSMUSG00000073478","0172","+","ENSMUSG00000073478",191224474,191225686,"overlapStart",-174,174,"NearestStart","D730003I15Rik","100504360"
"1",192515493,192515744,252,"0173 ENSMUSG00000094131","0173","+","ENSMUSG00000094131",192745571,192745686,"upstream",-230078,229827,"NearestStart","Gm22265",
"1",194976325,194976532,208,"0175 ENSMUSG00000096929","0175","+","ENSMUSG00000096929",194976375,195037908,"overlapStart",-50,50,"NearestStart","mmu-mir-29b-2",
"1",195241533,195241903,371,"0176 ENSMUSG00000093823","0176","+","ENSMUSG00000093823",195228278,195228398,"downstream",13255,13135,"NearestStart","Gm24802",
"1",9848230,9848431,202,"0004 ENSMUSG00000088916","0004","-","ENSMUSG00000088916",9834498,9834602,"upstream",-13628,13628,"NearestStart","Gm22607",
"1",10232499,10232754,256,"0005 ENSMUSG00000067851","0005","-","ENSMUSG00000067851",10137571,10232670,"overlapStart",171,84,"NearestStart","Arfgef1","211673"
"1",10233050,10233270,221,"0006 ENSMUSG00000067851","0006","-","ENSMUSG00000067851",10137571,10232670,"upstream",-380,380,"NearestStart","Arfgef1","211673"
"1",13372733,13372947,215,"0010 ENSMUSG00000005886","0010","-","ENSMUSG00000005886",13139105,13374083,"inside",1350,1136,"NearestStart","Ncoa2","17978"
"1",13660467,13660771,305,"0011 ENSMUSG00000025937","0011","-","ENSMUSG00000025937",13624845,13660546,"overlapStart",79,79,"NearestStart","Lactb2","212442"
"1",20867521,20867740,220,"0013 ENSMUSG00000097934","0013","-","ENSMUSG00000097934",20888650,20890473,"downstream",22952,20910,"NearestStart","AC156980.1",
"1",35232702,35232909,208,"0016 ENSMUSG00000077231","0016","-","ENSMUSG00000077231",35178956,35179084,"upstream",-53618,53618,"NearestStart","Gm25096",
"1",36369068,36369348,281,"0019 ENSMUSG00000010453","0019","-","ENSMUSG00000010453",36335730,36369181,"overlapStart",113,113,"NearestStart","Kansl3","226976"
"1",36557126,36557352,227,"0020 ENSMUSG00000026121","0020","-","ENSMUSG00000026121",36548642,36558349,"inside",1223,997,"NearestStart","Sema4c","20353"
"1",36709807,36710085,279,"0021 ENSMUSG00000037351","0021","-","ENSMUSG00000037351",36699202,36714422,"inside",4615,4337,"NearestStart","Actr1b","226977"
"1",36770851,36771051,201,"0022 ENSMUSG00000097291","0022","-","ENSMUSG00000097291",36764863,36765874,"upstream",-4977,4977,"NearestStart","RP23-247A1.2",
"1",38129653,38130170,518,"0024 ENSMUSG00000026082","0024","-","ENSMUSG00000026082",38052787,38129662,"overlapStart",9,9,"NearestStart","Rev1","56210"
"1",42713424,42713647,224,"0029 ENSMUSG00000097063","0029","-","ENSMUSG00000097063",42707061,42713454,"overlapStart",30,30,"NearestStart","RP23-71K9.4",
"1",43098477,43098763,287,"0030 ENSMUSG00000070939","0030","-","ENSMUSG00000070939",43047269,43098622,"overlapStart",145,141,"NearestStart","Tgfbrap1","73122"
"1",51931681,51931892,212,"0031 ENSMUSG00000072324","0031","-","ENSMUSG00000072324",51940650,51941261,"downstream",9580,8758,"NearestStart","Gm8420","667014"
"1",52233281,52233597,317,"0032 ENSMUSG00000026103","0032","-","ENSMUSG00000026103",52163448,52233232,"upstream",-49,49,"NearestStart","Gls","14660"
"1",52953122,52953356,235,"0033 ENSMUSG00000043629","0033","-","ENSMUSG00000043629",52922324,52963260,"inside",10138,9904,"NearestStart","1700019D03Rik","67080"
"1",52953567,52953866,300,"0034 ENSMUSG00000043629","0034","-","ENSMUSG00000043629",52922324,52963260,"inside",9693,9394,"NearestStart","1700019D03Rik","67080"
"1",53823813,53824109,297,"0035 ENSMUSG00000026094","0035","-","ENSMUSG00000026094",53755506,53785224,"upstream",-38589,38589,"NearestStart","Stk17b","98267"
"1",54484950,54485152,203,"0036 ENSMUSG00000041303","0036","-","ENSMUSG00000041303",54397581,54438971,"upstream",-45979,45979,"NearestStart","Gtf3c3","98488"
"1",54926339,54926651,313,"0037 ENSMUSG00000052331","0037","-","ENSMUSG00000052331",54645340,54926387,"overlapStart",48,48,"NearestStart","Ankrd44","329154"
"1",62181680,62181992,313,"0043 ENSMUSG00000085019","0043","-","ENSMUSG00000085019",62131195,62136109,"upstream",-45571,45571,"NearestStart","Gm12747",
"1",65040933,65041138,206,"0046 ENSMUSG00000025955","0046","-","ENSMUSG00000025955",65012689,65032759,"upstream",-8174,8174,"NearestStart","Akr1cl","70861"
"1",71673511,71673711,201,"0049 ENSMUSG00000026193","0049","-","ENSMUSG00000026193",71585523,71653171,"upstream",-20340,20340,"NearestStart","Fn1","14268"
"1",74092358,74092564,207,"0052 ENSMUSG00000055322","0052","-","ENSMUSG00000055322",73910231,74124447,"inside",32089,31883,"NearestStart","Tns1","21961"
"1",74111410,74111624,215,"0053 ENSMUSG00000055322","0053","-","ENSMUSG00000055322",73910231,74124447,"inside",13037,12823,"NearestStart","Tns1","21961"
"1",77496871,77497218,348,"0061 ENSMUSG00000026235","0061","-","ENSMUSG00000026235",77367185,77515088,"inside",18217,17870,"NearestStart","Epha4","13838"
"1",79776020,79776253,234,"0064 ENSMUSG00000073643","0064","-","ENSMUSG00000073643",79702262,79776143,"overlapStart",123,110,"NearestStart","Wdfy1","69368"
"1",83038195,83038593,399,"0066 ENSMUSG00000038496","0066","-","ENSMUSG00000038496",83012523,83038448,"overlapStart",253,145,"NearestStart","Slc19a3","80721"
"1",84177152,84177447,296,"0067 ENSMUSG00000045658","0067","-","ENSMUSG00000045658",84036296,84364180,"inside",187028,140856,"NearestStart","Pid1","98496"
"1",88277296,88277512,217,"0077 ENSMUSG00000044783","0077","-","ENSMUSG00000044783",88262471,88277633,"inside",337,121,"NearestStart","Hjurp","212427"
"1",88668880,88669148,269,"0078 ENSMUSG00000049866","0078","-","ENSMUSG00000049866",88673125,88702221,"downstream",33341,3977,"NearestStart","Arl4c","320982"
"1",89935969,89936221,253,"0082 ENSMUSG00000034486","0082","-","ENSMUSG00000034486",89927962,89933290,"upstream",-2679,2679,"NearestStart","Gbx2","14472"
"1",91412510,91412758,249,"0083 ENSMUSG00000067071","0083","-","ENSMUSG00000067071",91411483,91414038,"inside",1528,1027,"NearestStart","Hes6","55927"
"1",92432183,92432559,377,"0085 ENSMUSG00000026260","0085","-","ENSMUSG00000026260",92439010,92473860,"downstream",41677,6451,"NearestStart","Ndufa10","67273"
"1",118648001,118648326,326,"0093 ENSMUSG00000089601","0093","-","ENSMUSG00000089601",118638288,118638404,"upstream",-9597,9597,"NearestStart","Gm22094",
"1",119053636,119053838,203,"0094 ENSMUSG00000048402","0094","-","ENSMUSG00000048402",118834132,119053619,"upstream",-17,17,"NearestStart","Gli2","14633"
"1",119305309,119305609,301,"0097 ENSMUSG00000037035","0097","-","ENSMUSG00000037035",119415465,119422248,"downstream",116939,109856,"NearestStart","Inhbb","16324"
"1",119348470,119349068,599,"0098 ENSMUSG00000037035","0098","-","ENSMUSG00000037035",119415465,119422248,"downstream",73778,66397,"NearestStart","Inhbb","16324"
"1",119388692,119388989,298,"0099 ENSMUSG00000037035","0099","-","ENSMUSG00000037035",119415465,119422248,"downstream",33556,26476,"NearestStart","Inhbb","16324"
"1",119504574,119505029,456,"0100 ENSMUSG00000004451","0100","-","ENSMUSG00000004451",119470305,119504794,"overlapStart",220,220,"NearestStart","Ralb","64143"
"1",119634893,119635105,213,"0102 ENSMUSG00000026383","0102","-","ENSMUSG00000026383",119545033,119649000,"inside",14107,13895,"NearestStart","Epb4.1l5","226352"
"1",128860079,128860360,282,"0105 ENSMUSG00000064737","0105","-","ENSMUSG00000064737",128885909,128886019,"downstream",25940,25549,"NearestStart","Gm23056",
"1",131097699,131097900,202,"0107 ENSMUSG00000016528","0107","-","ENSMUSG00000016528",131053704,131097543,"upstream",-156,156,"NearestStart","Mapkapk2","17164"
"1",132200976,132201202,227,"0109 ENSMUSG00000097540","0109","-","ENSMUSG00000097540",132201069,132203803,"overlapEnd",2827,93,"NearestStart","AC124108.1",
"1",132222225,132222550,326,"0110 ENSMUSG00000066936","0110","-","ENSMUSG00000066936",132229048,132229767,"downstream",7542,6498,"NearestStart","Gm10188","100294504"
"1",133397535,133397944,410,"0115 ENSMUSG00000070643","0115","-","ENSMUSG00000070643",133382303,133424377,"inside",26842,15232,"NearestStart","Sox13","20668"
"1",133423822,133424271,450,"0116 ENSMUSG00000070643","0116","-","ENSMUSG00000070643",133382303,133424377,"inside",555,106,"NearestStart","Sox13","20668"
"1",134086489,134086689,201,"0117 ENSMUSG00000020423","0117","-","ENSMUSG00000020423",134075170,134079120,"upstream",-7369,7369,"NearestStart","Btg2","12227"
"1",135199076,135199276,201,"0118 ENSMUSG00000026424","0118","-","ENSMUSG00000026424",135160234,135167681,"upstream",-31395,31395,"NearestStart","Gpr37l1","171469"
"1",135344077,135344357,281,"0119 ENSMUSG00000087859","0119","-","ENSMUSG00000087859",135353717,135353822,"downstream",9745,9360,"NearestStart","Gm22796",
"1",135430416,135430732,317,"0120 ENSMUSG00000041879","0120","-","ENSMUSG00000041879",135382312,135430499,"overlapStart",83,83,"NearestStart","Ipo9","226432"
"1",135507819,135508164,346,"0121 ENSMUSG00000093515","0121","-","ENSMUSG00000093515",135454603,135454683,"upstream",-53136,53136,"NearestStart","Gm23720",
"1",135676983,135677260,278,"0122 ENSMUSG00000090399","0122","-","ENSMUSG00000090399",135606447,135688105,"inside",11122,10845,"NearestStart","Nav1","101056010"
"1",136234319,136234537,219,"0123 ENSMUSG00000041605","0123","-","ENSMUSG00000041605",136213522,136234280,"upstream",-39,39,"NearestStart","5730559C18Rik","67313"
"1",136427567,136427913,347,"0125 ENSMUSG00000097403","0125","-","ENSMUSG00000097403",136411916,136415519,"upstream",-12048,12048,"NearestStart","AC122127.1",
"1",136570237,136570614,378,"0126 ENSMUSG00000097229","0126","-","ENSMUSG00000097229",136622098,136624650,"downstream",54413,51484,"NearestStart","AC126606.1",
"1",136952826,136953087,262,"0129 ENSMUSG00000026398","0129","-","ENSMUSG00000026398",136843584,136960427,"inside",7601,7340,"NearestStart","Nr5a2","26424"
"1",153900164,153900364,201,"0133 ENSMUSG00000045968","0133","-","ENSMUSG00000045968",153849542,153900208,"overlapStart",44,44,"NearestStart","5830403L16Rik","240817"
"1",154080860,154081171,312,"0134 ENSMUSG00000088669","0134","-","ENSMUSG00000088669",154080095,154080199,"upstream",-661,661,"NearestStart","Gm25336",
"1",156668775,156668975,201,"0137 ENSMUSG00000060519","0137","-","ENSMUSG00000060519",156653617,156674356,"inside",5581,5381,"NearestStart","Tor3a","30935"
"1",158356188,158356452,265,"0138 ENSMUSG00000004031","0138","-","ENSMUSG00000004031",158245271,158356260,"overlapStart",72,72,"NearestStart","Fam5b","240843"
"1",166002519,166002924,406,"0143 ENSMUSG00000026565","0143","-","ENSMUSG00000026565",165865154,166002678,"overlapStart",159,159,"NearestStart","Pou2f1","18986"
"1",166238530,166238824,295,"0145 ENSMUSG00000040629","0145","-","ENSMUSG00000040629",166201385,166238744,"overlapStart",214,80,"NearestStart","Mael","98558"
"1",167498090,167498336,247,"0146 ENSMUSG00000040485","0146","-","ENSMUSG00000040485",167445675,167466780,"upstream",-31310,31310,"NearestStart","Lrrc52","240899"
"1",171345590,171345790,201,"0147 ENSMUSG00000013997","0147","-","ENSMUSG00000013997",171338008,171345646,"overlapStart",56,56,"NearestStart","Nit1","27045"
"1",171471445,171471658,214,"0148 ENSMUSG00000094668","0148","-","ENSMUSG00000094668",171503048,171503163,"downstream",31718,31390,"NearestStart","Gm24871",
"1",172027222,172027502,281,"0149 ENSMUSG00000026556","0149","-","ENSMUSG00000026556",172000960,172028444,"inside",1222,942,"NearestStart","Vangl2","93840"
"1",172312347,172312547,201,"0150 ENSMUSG00000007097","0150","-","ENSMUSG00000007097",172271709,172298064,"upstream",-14283,14283,"NearestStart","Atp1a2","98660"
